Asset,Mu_Annual
AAPL,0.188020113042004
ABBV,0.175546120368411
ABT,0.173209174909466
ACN,0.16786015080166
ADBE,0.227830896503238
AIG,0.136495691552741
AMD,0.263327661420096
AMGN,0.183484610545802
AMT,0.11335774404198
AMZN,0.234855718272318
AVGO,0.213693001953545
AXP,0.146269958159337
BA,0.168798264141573
BAC,0.159606424055031
BK,0.140148663376308
BKNG,0.181358163974699
BLK,0.194534326912199
BMY,0.144760238107126
BRK-B,0.140311346755681
C,0.176464246647769
CAT,0.167672350737656
CL,0.11030269723205
CMCSA,0.139138436240471
COF,0.15157693465802
COP,0.142492903425554
COST,0.118901030369032
CRM,0.235939554077207
CSCO,0.175397758323386
CVX,0.131374030450798
DHR,0.154570192100292
DIS,0.139790297814189
DUK,0.0631218517628653
EMR,0.152299491780428
EXC,0.0801611913063724
F,0.134496459735115
FDX,0.163350071573284
GD,0.139716245854331
GE,0.137067231794648
GILD,0.176361342854618
GOOG,0.201536719767872
GS,0.166433352588426
HON,0.154244377847743
IBM,0.138323869133552
INTC,0.184998886070739
JNJ,0.118318580344801
JPM,0.151807953252182
KO,0.0918086902506214
LIN,0.131433365649951
LLY,0.134711579070465
LMT,0.121185717912528
LOW,0.151862758684033
MA,0.211168338953567
MDLZ,0.139321047388922
MDT,0.139778728642012
MET,0.162084919845311
META,0.211723485715392
MKTX,0.116752959216431
MMM,0.145744081249351
MO,0.100609056313337
MRK,0.129517199725323
MS,0.191808387630974
MSFT,0.211498966275169
NEE,0.0803693764018087
NFLX,0.249826396150951
NKE,0.15716750924042
ORCL,0.160023089378925
OXY,0.124754055082309
PEP,0.0999561951667773
PFE,0.128947133345507
PG,0.0977166611419507
PM,0.102249386218719
QCOM,0.163290398013773
RTX,0.143311536086741
SCHW,0.188468283676683
SO,0.0577767324488989
SPGI,0.17827652892717
T,0.0946998080185169
TGT,0.105624284510169
TMO,0.181123052204156
TMUS,0.143179971430022
TXN,0.190754952306139
UNH,0.145994284932239
UPS,0.127924988257717
USB,0.12130084360939
V,0.19257095640284
VZ,0.0887828801676005
WBA,0.14755624157981
WFC,0.130987457166552
WMT,0.100383339682823
XOM,0.123867756527098
