Asset,Weight
AAPL,0.0629556432620469
ABBV,0.0122757109675931
ABT,0.0407535999954302
ACN,0.0286896188074249
ADBE,0.0340184966588323
AIG,-0.0183456238031129
AMD,0.00551976390612272
AMGN,0.0342114310685334
AMT,0.00771364875352331
AMZN,0.040405760992574
AVGO,0.00432646234216372
AXP,0.0157117678042159
BA,0.024375299218994
BAC,-0.0169456899012095
BK,-0.0327033861391538
BKNG,0.00749298129427796
BLK,0.0272206570750178
BMY,0.00888636068485555
BRK-B,0.00586133265714648
C,0.000725608363519801
CAT,0.000827071680752885
CL,0.0190370752339851
CMCSA,0.0180939699263985
COF,-0.0179775029713585
COP,-0.0222751635697628
COST,0.0103786398844471
CRM,0.0224211946299579
CSCO,0.0155772868366907
CVX,0.018747712749222
DHR,0.00880033685613061
DIS,0.0224764710975266
DUK,-0.0127534668702478
EMR,-0.0159539568010136
EXC,0.00983302876244231
F,-0.0226657866949057
FDX,-0.00253153211087644
GD,0.00271072091372864
GE,0.00728259772879728
GILD,0.0193027246598168
GOOG,0.0420983693545108
GS,-0.0037526790770049
HON,0.0280705856810502
IBM,0.000688140040188249
INTC,0.0194615853094033
JNJ,0.00389090997527582
JPM,0.0240195546456945
KO,0.0188572635195579
LIN,0.0134769819460924
LLY,0.0162415219433402
LMT,0.0151808298908006
LOW,0.0161346645060629
MA,0.0699929684856297
MDLZ,0.0241266878727343
MDT,0.00936746544743802
MET,8.09331122013842e-06
META,0.0158762220065582
MKTX,-0.0203626424189667
MMM,0.00390421103074567
MO,0.0178035392462289
MRK,0.0219292394738691
MS,0.0190563969272492
MSFT,0.0689995772856375
NEE,0.0315367056083698
NFLX,0.00788049657425342
NKE,0.0184850299445099
ORCL,0.00851550743715357
OXY,-0.00777494879919591
PEP,0.0211907335994202
PFE,0.0214566021546027
PG,0.0173835146445937
PM,-0.00870812218551692
QCOM,0.00337003164031594
RTX,-0.00338447639052896
SCHW,-0.00651338173670256
SO,-0.00699066292746155
SPGI,0.0240307293396339
T,0.00505776868178503
TGT,-0.00761914105926058
TMO,0.0253694078753758
TMUS,-0.00260860322292804
TXN,0.0112040640189909
UNH,0.033212897756834
UPS,-0.0112933885109121
USB,-0.0478236252771512
V,0.00758489503239327
VZ,0.0166574886047232
WBA,0.00127198555468937
WFC,-0.0117200545545078
WMT,0.0241088680479876
XOM,0.0365693257946899
